,domain,reachedDomain,start,end,hasErrors,error,originalFile,cmp,cmps,pagerank,rank_group,wronglyTagged,status,statusSimplified,cmp_simplified,cmp_simplified_othered,cmp_simplified_othered_more,tld,tld_othered
7,fastly.net,fastly.com,2022-11-22 09:38:50.098000+00:00,2022-11-22 09:44:14.910000+00:00,False,Successful,results.json_00000000-00000009.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",28,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
22,macromedia.com,adobe.com,2022-11-22 09:44:10.562000+00:00,2022-11-22 09:50:49.712000+00:00,False,Successful,results.json_00000020-00000029.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",82,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
24,omtrdc.net,adobe.com,2022-11-22 09:44:14.911000+00:00,2022-11-22 09:52:01.075000+00:00,False,Successful,results.json_00000020-00000029.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",96,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
32,fbcdn.net,facebook.com,2022-11-22 09:50:39.129000+00:00,2022-11-22 09:55:03.269000+00:00,False,Successful,results.json_00000030-00000039.json,Facebook,['Facebook'],161,"(0, 10000]",False,successful,successful,Facebook,other,other,net,net
39,linode.com,www.linode.com,2022-11-22 09:53:25.428000+00:00,2022-11-22 09:58:04.563000+00:00,False,Successful,results.json_00000030-00000039.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",187,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
42,demdex.net,adobe.com,2022-11-22 09:56:01.357000+00:00,2022-11-22 10:00:33.101000+00:00,False,Successful,results.json_00000040-00000049.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",228,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
50,aliyun.com,alibabacloud.com,2022-11-22 09:57:01.526000+00:00,2022-11-22 10:03:51.613000+00:00,False,Successful,results.json_00000050-00000059.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",232,"(0, 10000]",False,successful,successful,trustarc,other,trustarc,com,com
58,zendesk.com,zendesk.de,2022-11-22 10:02:44.013000+00:00,2022-11-22 10:08:24.825000+00:00,False,Successful,results.json_00000050-00000059.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",274,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
61,adobe.io,adobe.com,2022-11-22 10:04:33.102000+00:00,2022-11-22 10:10:00.335000+00:00,False,Successful,results.json_00000060-00000069.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",299,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
65,att.net,yahoo.com,2022-11-22 10:05:20.299000+00:00,2022-11-22 10:12:36.297000+00:00,False,Successful,results.json_00000060-00000069.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",309,"(0, 10000]",False,successful,successful,yahoo,other,other,net,net
68,unity3d.com,unity.com,2022-11-22 10:07:51.653000+00:00,2022-11-22 10:13:03.371000+00:00,False,Successful,results.json_00000060-00000069.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",318,"(0, 10000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
72,aol.com,yahoo.com,2022-11-22 10:13:51.352000+00:00,2022-11-22 10:18:36.781000+00:00,False,Successful,results.json_00000070-00000079.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",344,"(0, 10000]",False,successful,successful,yahoo,other,other,com,com
